Ссылка на продукт,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Cтрана-производитель
https://goldapple.ru/19000092354-nice-bergamote-by-antoine-maisondieu,NICE BERGAMOTE by Antoine Maisondieu,2086,,"{""title"": ""ESSENTIAL PARFUMS PARIS NICE BERGAMOTE by Antoine Maisondieu"", ""subtitle"": ""артикул: 19000092354"", ""content"": ""Парфюмированное жидкое мыло ESSENTIAL PARFUMS PARIS мягко очищает руки и кожу тела, оставляя изысканный аромат. Средство с растительным глицерином питает кожу и не вызывает сухости после очищения. Экологичная и мягкая формула, подходящая даже для чувствительной кожи, на 98% состоит из натуральных ингредиентов. Игривый и солнечный аромат раскрывает ноты бергамота, жасмина, иланг-иланга и лепестков розы, а изысканный кедр и сладость бобов тонка дополняют яркую композицию."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""жидкое мыло""}, {""key"": ""для кого"", ""value"": ""унисекс""}]}","нанесите на влажную кожу рук, вспеньте, затем смойте водой. Используйте в качестве геля для душа для очищения кожи тела. ",Франция
https://goldapple.ru/26830400003-dreaming-with-ghosts,Dreaming with Ghosts,8267,4.6,"{""title"": ""MARK BUXTON Dreaming with Ghosts"", ""subtitle"": ""артикул: 26830400003"", ""content"": ""Фантазия об особенной нежности. В поисках неожиданной красоты, потерянной в тёмном мире… Она ускользает, словно изменчивый, неуловимый фантом. Dreaming with Ghosts – это путешествие между сном и реальностью. Бодрящая айва сочетается со светлыми нотами ванили и ветивера, окутанными ароматом кожи. \nОсновная идея – отражение нежности. Ваниль в сочетании с кожей и ветивером раскрывает мягкую чувственность, которую подчеркивают яркие цветочные ноты пиона и бархатцев. Из сна в реальность возвращает яркий фруктовый аккорд айвы, напоминающий сочетание груши и яблока. \n\nВерхние ноты: бархатцы, айва\nНоты сердца: пион, кожа\nБазовые ноты: ветивер, ваниль"", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""духи""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""цветочные""}, {""key"": ""верхние ноты"", ""value"": ""бархатцы и айва""}, {""key"": ""средние ноты"", ""value"": ""пион и кожа""}, {""key"": ""базовые ноты"", ""value"": ""ветивер и ваниль""}]}",,Франция
https://goldapple.ru/7430500002-eau-fraiche,Eau Fraiche ,4375,4.3,"{""title"": ""VERSACE Eau Fraiche"", ""subtitle"": ""артикул: 7430500002"", ""content"": ""Туалетная вода Versace Eau Fraiche имеет сложную композицию, в которой классические мужские аккорды сочетаются со свежими тонами, придающими запаху необычайную легкость и шарм. Верхние ноты этой туалетной воды включают в себя экзотическую карамболу, белый лимон и розовое дерево. Комбинация из кедровой хвои, душистого шалфея и горьковатого эстрагона составляют сердце Eau Fraiche. Прекрасно дополнит букет шлейф из чувственного мускуса, теплой амбры и легкой древесины платана. Этот тонизирующий аромат от Versace станет отличным подарком для сильного и харизматичного мужчины, умеющего получать удовольствие от жизни."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""туалетная вода""}, {""key"": ""для кого"", ""value"": ""мужской""}, {""key"": ""группа ароматов"", ""value"": ""древесные""}, {""key"": ""верхние ноты"", ""value"": ""бергамот, розовое дерево, кардамон, лимон и карамбола""}, {""key"": ""средние ноты"", ""value"": ""тархун, шалфей, белый кедр и перец""}, {""key"": ""базовые ноты"", ""value"": ""амбра, шафран, мускус, древесные ноты и сикомор""}]}",,Италия
https://goldapple.ru/19000225097,Animalique,22899,,"{""title"": ""BYREDO Animalique"", ""subtitle"": ""артикул: 19000225097"", ""content"": ""Человек способен быть многоликим. Каждый из нас сочетает в себе множество тайных и явных «я»: Animalique — это аромат для всех наших субличностей, посвященный свободе перевоплощения. Этот ослепительно многослойный аромат постепенно трансформируется, переходя от сверкающих цитрусовых верхних нот к теплым, чувственным цветочным оттенкам, а затем окончательно и бесповоротно погружает вас в животную атмосферу нот замши, амбры и листьев табака. Он помогает нам разглядеть в себе внутреннего дикого зверя и как бы подключает нас к источнику первозданных эмоций, общему для всего человечества: он разблокирует первобытные инстинкты. И тогда разрушаются комплексы, реальность и фантазии сливаются воедино, и из этого синтеза в нас рождается восхитительное и незнакомое мифическое существо."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""амбровые, цветочные""}, {""key"": ""верхние ноты"", ""value"": ""бергамот, лимон""}, {""key"": ""средние ноты"", ""value"": ""мимоза, фиалка, замша""}, {""key"": ""базовые ноты"", ""value"": ""листья табака, сандаловое дерево, амбра""}]}",Нанести на пульсирующие точки,Франция
https://goldapple.ru/19000125956-butterfly-mind,Butterfly Mind,3618,,"{""title"": ""STATE OF MIND Butterfly Mind"", ""subtitle"": ""артикул: 19000125956"", ""content"": ""Мобильная версия спрея создана, чтобы любимый аромат всегда был под рукой! Невесомый цветочно-фруктовый аромат Butterfly Mind вызывает ассоциации с природой, молодостью и лёгкостью. На его создание вдохновила красота весны и вечного начала. В этом светлом, романтичном и многогранном аромате нежность белого чая и цветков сакуры гармонирует с фруктовыми нотами фейхоа. Украшают праздничный букет чувственные вишня и мускус."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""цветочные""}, {""key"": ""верхние ноты"", ""value"": ""белый чай и цветки сакуры""}, {""key"": ""средние ноты"", ""value"": ""фейхоа, белый чай и лесной орех""}, {""key"": ""базовые ноты"", ""value"": ""вишня и мускус""}]}","Только для наружного применения.
",Франция
https://goldapple.ru/19000004549-perfume-vanilla-blend,Black vanilla,2200,4.9,"{""title"": ""ZIELINSKI & ROZEN Black vanilla"", ""subtitle"": ""артикул: 19000004549"", ""content"": ""Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>\nЭрез Розен <br><br>\n\nЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>\n\nВсе ароматы Zielinski&Rozen категории унисекс."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""духи""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""пудровые""}, {""key"": ""верхние ноты"", ""value"": ""ваниль""}, {""key"": ""средние ноты"", ""value"": ""ваниль""}, {""key"": ""базовые ноты"", ""value"": ""ваниль""}]}",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата. ,Россия
https://goldapple.ru/19000153555-sensoriel-springpop,Sensoriel Springpop,14420,,"{""title"": ""J.U.S JOYAU UNIQUE & SENSORIEL Sensoriel Springpop"", ""subtitle"": ""артикул: 19000153555"", ""content"": ""Мягкий и чистый аромат J.U.S – это ода радости и безграничной любви к жизни. Он посвящен победе весны над зимой и долгожданному наступлению теплых, солнечных, беззаботных дней. Радостное настроение создают букет из полевых цветов и свежий базилик, добавляющий композиции зеленое звучание. Облако чарующего мускуса окутывает нежностью и оставляет деликатный шлейф. Классификация аромата: мускусный, цветочный. Парфюмер – Céline Ellena."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""мускусные, цветочные""}, {""key"": ""верхние ноты"", ""value"": ""базилик""}, {""key"": ""средние ноты"", ""value"": ""полевые цветы""}, {""key"": ""базовые ноты"", ""value"": ""мускус""}]}","Для наружного применения. 
",Франция
https://goldapple.ru/26830300002-spiritual-healing,Spiritual Healing,7676,4.3,"{""title"": ""MARK BUXTON Spiritual Healing"", ""subtitle"": ""артикул: 26830300002"", ""content"": ""Связь женщины и мужчины, вызывающая зависимость. Баланс духовного обмена. Тонкий аромат, созданный на основе абсолюта османтуса, отражает гармонию между двумя людьми, соприкосновение их кожи. Чёрная смородина и давана усиливают женский трепет, а цистус и абсолют бузины возвышают мужскую чувственность. \nSpiritual Healing раскрывает сложность и богатство османтуса. Почки чёрной смородины и давана играют с женственностью, а абсолют бузины и абсолют цистуса придают аромату древесный оттенок и делают его более мужественным. \n\nВерхние ноты: давана, почки чёрной смородины\nНоты сердца: абсолют бузины, османтус\nБазовые ноты: абсолют цистуса, кастореум"", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""духи""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""восточные""}, {""key"": ""верхние ноты"", ""value"": ""давана и почки чёрной смородины""}, {""key"": ""средние ноты"", ""value"": ""абсолют бузины и османтус""}, {""key"": ""базовые ноты"", ""value"": ""абсолют цистуса и кастореум""}]}",,Франция
https://goldapple.ru/19000004553-black-pepper-amber-neroli,"Black Pepper, Vetiver, Neroli, Amber",2200,4.9,"{""title"": ""ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber"", ""subtitle"": ""артикул: 19000004553"", ""content"": ""Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>\nЭрез Розен <br><br>\n\nЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>\n\nВсе ароматы Zielinski&Rozen категории унисекс."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""духи""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""пряные""}, {""key"": ""верхние ноты"", ""value"": ""черный перец""}, {""key"": ""средние ноты"", ""value"": ""амбра""}, {""key"": ""базовые ноты"", ""value"": ""нероли""}]}",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата. ,Россия
https://goldapple.ru/7195700003-poison-girl,Poison Girl,16900,,"{""title"": ""DIOR Poison Girl"", ""subtitle"": ""артикул: 7195700003"", ""content"": ""Poison Girl – аромат современной девушки, свободной и сексуальной. Как ловушка, завлекающий, заражающий и растягивающий удовольствие, превращая его в зависимость.\n\nГорько-сладкий цветочный аромат с аппетитной апельсиновой нотой, укутанной чарующим аккордом Венесуэльских Бобов Тонка, и острой чувственностью Розы из Грасса."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""женский""}, {""key"": ""группа ароматов"", ""value"": ""цветочные""}, {""key"": ""верхние ноты"", ""value"": ""горький апельсин""}, {""key"": ""средние ноты"", ""value"": ""грасская роза""}, {""key"": ""базовые ноты"", ""value"": ""бобы тонка""}]}",,Франция
